condition,suite,task_id,task,episode_index,seed,delay_ticks,delay_ms,success,reward,steps,policy_calls,mean_inference_ms,p95_inference_ms,mean_state_prediction_mse,mean_handoff_action_l2,queue_underflows
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,2,1002,3,300,True,1.0,162,17,375.6822030991316,416.80479273200035,1.784274555423811e-05,0.7949465086062749,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,3,1003,3,300,False,0.0,280,28,391.8988276273012,454.14907513186336,3.3894481938895534e-05,0.919347044494417,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,4,1004,3,300,False,0.0,280,28,382.7138599008322,444.57697328180075,3.8327706954953976e-05,0.8905333335752841,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,5,1005,3,300,False,0.0,280,28,398.5003449155816,470.42214069515467,3.8457278568178786e-05,0.6385650982459387,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,6,1006,3,300,True,1.0,104,11,382.79386000199753,430.99698703736067,1.9267391576249792e-05,0.6126161098480225,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,7,1007,3,300,True,1.0,106,11,389.358788728714,425.3217112272978,1.195730051222199e-05,0.6231809921562672,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,8,1008,3,300,False,0.0,280,28,390.0592550635338,471.1366799660027,8.14097211416622e-05,1.1564416885375977,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,9,1009,3,300,False,0.0,280,28,386.16534236020277,426.666808873415,4.821058835794382e-05,1.0628657793557201,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,0,1000,1,100,True,1.0,143,15,388.60224584738415,436.8442267179489,nan,0.7437237586293902,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,1,1001,1,100,False,0.0,280,28,379.96554720614637,419.7812062688172,nan,0.8801068658078158,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,2,1002,1,100,True,1.0,231,24,406.13410746057826,451.4062471687794,nan,1.0251214639707045,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,3,1003,1,100,True,1.0,270,27,372.0103495374874,419.7953972965479,nan,0.7832186949940828,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,4,1004,1,100,False,0.0,280,28,381.47935530702983,440.5454277060926,nan,1.0311120097283963,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,5,1005,1,100,False,0.0,280,28,382.16371262179956,441.0800325684249,nan,0.9549254372164055,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,6,1006,1,100,True,1.0,98,10,406.5889313817024,453.07856285944575,nan,0.4743703123595979,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,7,1007,1,100,False,0.0,280,28,382.7790937253407,420.4247158020735,nan,0.9938823072998612,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,8,1008,1,100,True,1.0,224,23,385.2732474713222,435.4085762053728,nan,1.1911200183359059,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,9,1009,1,100,False,0.0,280,28,375.0314451754093,411.07895122841,nan,1.1470983056006607,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,0,1000,2,200,False,0.0,280,28,360.9439511783421,406.9897521287203,nan,0.9367133831536328,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,1,1001,2,200,True,1.0,249,25,401.9639367610216,477.69018374383444,nan,0.9922497111062208,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,2,1002,2,200,False,0.0,280,28,386.87781264473284,466.4355824701488,nan,0.9504669303143466,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,3,1003,2,200,False,0.0,280,28,402.74699850540077,457.82474847510457,nan,1.0585293212422617,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,4,1004,2,200,True,1.0,103,11,389.1933252188292,422.42920491844416,nan,0.8990255326032639,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,5,1005,2,200,True,1.0,189,19,381.930156855991,427.46313232928514,nan,0.7437713220715523,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,6,1006,2,200,True,1.0,103,11,393.3183789591898,424.41084049642086,nan,0.4948581293225288,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,7,1007,2,200,False,0.0,280,28,407.21813163587024,473.43470621854067,nan,1.1083739162595183,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,8,1008,2,200,False,0.0,280,28,379.5506221109203,423.5799108631909,nan,1.2250677821812805,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,9,1009,2,200,True,1.0,113,12,387.6501138632496,414.0245070680976,nan,0.7383982796560634,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,0,1000,3,300,False,0.0,280,28,396.69909827145085,452.88839042186737,nan,1.020350773577337,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,1,1001,3,300,True,1.0,236,24,386.79485806884867,432.6807231642306,nan,0.8918051570653915,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,2,1002,3,300,True,1.0,157,16,371.7102693626657,411.40257520601153,nan,0.791004498799642,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,3,1003,3,300,False,0.0,280,28,389.17579588347246,447.61291798204184,nan,1.0157743675841227,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,4,1004,3,300,False,0.0,280,28,397.34680292063524,458.67162803187966,nan,0.9386812801714297,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,5,1005,3,300,True,1.0,130,13,392.11075079555695,470.6259425729513,nan,0.8755562653144201,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,6,1006,3,300,True,1.0,105,11,395.28282748704606,454.9463642761111,nan,0.5732587113976478,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,7,1007,3,300,False,0.0,280,28,371.2042595392891,423.2379402965307,nan,1.0406036139638335,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,8,1008,3,300,False,0.0,280,28,388.1464640476874,480.2753303200006,nan,0.8366934005860929,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,9,1009,3,300,False,0.0,280,28,386.0890895261296,426.63647839799523,nan,1.092078599113005,0
