mode,dataset_index,episode_index,delay,valid_action_steps,first_action_mae,first_action_mse,first4_mae,first4_mse,chunk_mae,chunk_mse
sync,42499,28,8,50,0.06517692655324936,0.00857210997492075,0.06490294635295868,0.008685873821377754,0.07200898230075836,0.015781672671437263
sync,46363,30,0,50,0.07383232563734055,0.00903595145791769,0.07438421249389648,0.008953302167356014,0.07478459179401398,0.008730360306799412
sync,50226,33,0,50,0.07923419028520584,0.013283432461321354,0.07901590317487717,0.012853200547397137,0.11282294243574142,0.02179935947060585
sync,54090,36,0,50,0.1639215648174286,0.09852293878793716,0.18849577009677887,0.13642625510692596,0.3087673485279083,0.1622675210237503
sync,57954,38,0,50,0.16768954694271088,0.037005577236413956,0.1571921408176422,0.03348042443394661,0.14210495352745056,0.03241456672549248
sync,46363,30,4,50,0.05703316256403923,0.006125759333372116,0.05684009566903114,0.006189681589603424,0.061591535806655884,0.006816576700657606
sync,50226,33,4,50,0.09633893519639969,0.01591671258211136,0.09404788911342621,0.015095074661076069,0.08942756056785583,0.013286187313497066
sync,54090,36,4,50,0.22587920725345612,0.14634624123573303,0.22603322565555573,0.1333255171775818,0.24192088842391968,0.09286857396364212
sync,57954,38,4,50,0.08279512822628021,0.010354303754866123,0.0788743644952774,0.00964838732033968,0.13195213675498962,0.03502853959798813
sync,46363,30,8,50,0.058577630668878555,0.007336750626564026,0.058224935084581375,0.00708916736766696,0.061536986380815506,0.007258469704538584
sync,50226,33,8,50,0.08894847333431244,0.011758069507777691,0.08575010299682617,0.010751071386039257,0.06898114830255508,0.007489645853638649
sync,54090,36,8,50,0.24825792014598846,0.16713567078113556,0.2560209631919861,0.1673905849456787,0.4153018593788147,0.24390608072280884
sync,57954,38,8,50,0.14381422102451324,0.03117889165878296,0.1417888104915619,0.03140236809849739,0.15596725046634674,0.04572528973221779
sync,61817,41,0,50,0.14648376405239105,0.03664862737059593,0.1474943608045578,0.03598857298493385,0.18836116790771484,0.06168157979846001
sync,65681,43,0,50,0.1257399320602417,0.03260582312941551,0.13072140514850616,0.037147097289562225,0.12119973450899124,0.03609459474682808
sync,69544,46,0,50,0.10552600771188736,0.01775137521326542,0.1047515720129013,0.017018338665366173,0.17882440984249115,0.0887189731001854
sync,73408,48,0,50,0.0950285866856575,0.013400113210082054,0.09456141293048859,0.013327115215361118,0.0945652648806572,0.0132248280569911
sync,61817,41,4,50,0.10655326396226883,0.020510569214820862,0.10582169145345688,0.019376160576939583,0.1730475276708603,0.04938991367816925
sync,65681,43,4,50,0.15543484687805176,0.05000229924917221,0.15759460628032684,0.0527191162109375,0.1272324025630951,0.034957364201545715
sync,69544,46,4,50,0.08705288916826248,0.011158928275108337,0.08739032596349716,0.011008408851921558,0.13729724287986755,0.028653103858232498
sync,73408,48,4,50,0.09218911081552505,0.015250318683683872,0.09173817932605743,0.014838538132607937,0.08990027010440826,0.013966301456093788
sync,61817,41,8,50,0.09517965465784073,0.015184594318270683,0.09116419404745102,0.013572977855801582,0.1590590626001358,0.039875272661447525
sync,65681,43,8,50,0.11678624898195267,0.025125939399003983,0.11866521835327148,0.025830278173089027,0.09866663068532944,0.01803385652601719
sync,69544,46,8,50,0.08807633072137833,0.010241580195724964,0.08444734662771225,0.009292230941355228,0.1239711120724678,0.0287609975785017
sync,73408,48,8,50,0.05935456231236458,0.007599312346428633,0.05907570570707321,0.007574636954814196,0.05745960399508476,0.007208113092929125
sync,77272,51,0,50,0.15451224148273468,0.035349901765584946,0.15448059141635895,0.0352645143866539,0.15917834639549255,0.03432013466954231
sync,81135,54,0,50,0.1495550572872162,0.04188986495137215,0.1469741016626358,0.039757974445819855,0.10886437445878983,0.01983555033802986
sync,84999,56,0,50,0.1037604883313179,0.019165411591529846,0.10436482727527618,0.019206766039133072,0.1920086294412613,0.08489013463258743
sync,88862,59,0,50,0.1136341467499733,0.02145647630095482,0.11202163249254227,0.02047174610197544,0.12588688731193542,0.030822619795799255
